sort_buffer_size, join_buffer_size, innodb_autoextend_increment, innodb_buffer_pool_size, innodb_additional_mem_pool_size, innodb_log_buffer_size, table_open_cache, thread_cache_size, query_cache_limit, max_allowed_packet, max_connect_errors, tmp_table_size, max_heap_table_size,tpmc
1989KB, 1405KB, 325MB, 928MB, 19MB, 16MB,1509,69, 2MB, 8MB,877, 116MB, 77MB,2877
1130KB, 896KB, 350MB, 3381MB, 1MB, 10MB,1292,30, 3MB, 5MB,1643, 22MB, 14MB,2877
2679KB, 615KB, 195MB, 6324MB, 5MB, 12MB,1758,108, 3MB, 8MB,1919, 107MB, 57MB,2877.5
1274KB, 1267KB, 376MB, 6824MB, 20MB, 14MB,1514,57, 3MB, 8MB,1026, 45MB, 74MB,2878
1775KB, 883KB, 417MB, 2601MB, 6MB, 14MB,341,121, 3MB, 11MB,1960, 123MB, 128MB,2878
2050KB, 1427KB, 36MB, 4536MB, 16MB, 28MB,1161,55, 2MB, 9MB,1876, 49MB, 62MB,2878.5
971KB, 1098KB, 276MB, 2043MB, 2MB, 12MB,1990,19, 2MB, 4MB,1965, 25MB, 112MB,2879
1036KB, 468KB, 319MB, 7308MB, 10MB, 29MB,579,15, 1MB, 12MB,1423, 70MB, 100MB,2879.5
3405KB, 1360KB, 510MB, 2059MB, 6MB, 31MB,938,97, 3MB, 9MB,1501, 18MB, 123MB,2879.5
3610KB, 407KB, 311MB, 1197MB, 4MB, 31MB,426,78, 2MB, 10MB,1494, 77MB, 59MB,2879.5
1887KB, 1933KB, 64MB, 7702MB, 6MB, 21MB,1335,18, 3MB, 6MB,1829, 43MB, 100MB,2880.5
967KB, 1973KB, 151MB, 5173MB, 18MB, 24MB,1417,81, 2MB, 6MB,1961, 39MB, 30MB,2881.5
1522KB, 1235KB, 432MB, 7907MB, 13MB, 9MB,1698,97, 2MB, 11MB,1108, 120MB, 66MB,2882
2121KB, 838KB, 455MB, 7214MB, 14MB, 32MB,1187,52, 1MB, 15MB,1530, 93MB, 35MB,2882
280KB, 1803KB, 342MB, 2922MB, 14MB, 32MB,256,35, 2MB, 13MB,785, 86MB, 98MB,2882
405KB, 1086KB, 347MB, 4299MB, 17MB, 16MB,588,124, 1MB, 14MB,1151, 101MB, 32MB,2882
3829KB, 542KB, 342MB, 1533MB, 8MB, 21MB,1133,97, 1MB, 14MB,1561, 82MB, 2MB,2883
1870KB, 1433KB, 28MB, 4557MB, 6MB, 31MB,1368,113, 2MB, 10MB,28, 89MB, 52MB,2883.5
2169KB, 1128KB, 95MB, 4061MB, 8MB, 31MB,1677,66, 1MB, 14MB,161, 69MB, 55MB,2883.5
1257KB, 1125KB, 202MB, 526MB, 11MB, 11MB,1368,18, 2MB, 10MB,1976, 80MB, 74MB,2884.5
1052KB, 1802KB, 275MB, 7203MB, 16MB, 10MB,1225,42, 3MB, 14MB,825, 41MB, 37MB,2885
1090KB, 1568KB, 487MB, 3202MB, 3MB, 30MB,989,128, 2MB, 8MB,1703, 13MB, 22MB,2885.5
1747KB, 1154KB, 369MB, 1375MB, 10MB, 31MB,1255,59, 2MB, 7MB,167, 44MB, 75MB,2886.5
278KB, 1406KB, 454MB, 3691MB, 11MB, 8MB,300,80, 3MB, 9MB,436, 78MB, 112MB,2887.5
1483KB, 1413KB, 391MB, 1738MB, 6MB, 22MB,1261,88, 3MB, 5MB,760, 117MB, 96MB,2888.5
1254KB, 663KB, 303MB, 3797MB, 8MB, 12MB,1134,90, 2MB, 5MB,384, 28MB, 33MB,2889
2948KB, 1402KB, 442MB, 3946MB, 19MB, 11MB,144,49, 3MB, 14MB,1598, 84MB, 40MB,2890.5
528KB, 241KB, 416MB, 3235MB, 16MB, 17MB,1756,123, 1MB, 5MB,521, 89MB, 84MB,2891
4021KB, 1068KB, 103MB, 4525MB, 10MB, 25MB,258,27, 2MB, 13MB,441, 15MB, 33MB,2893.5
2684KB, 1742KB, 323MB, 2944MB, 15MB, 30MB,914,107, 2MB, 10MB,246, 8MB, 63MB,2893.5
3898KB, 783KB, 409MB, 2857MB, 14MB, 9MB,834,61, 3MB, 8MB,111, 116MB, 86MB,2894.5
1564KB, 696KB, 469MB, 4731MB, 2MB, 10MB,1109,72, 3MB, 9MB,1099, 108MB, 45MB,2895.5
1502KB, 1201KB, 235MB, 2149MB, 14MB, 28MB,1211,65, 1MB, 12MB,282, 86MB, 57MB,2896.5
2209KB, 1699KB, 105MB, 7835MB, 18MB, 24MB,1866,121, 3MB, 9MB,1597, 49MB, 6MB,2897.5
1739KB, 465KB, 209MB, 3879MB, 2MB, 20MB,1742,52, 3MB, 12MB,411, 77MB, 127MB,2898
1976KB, 1513KB, 76MB, 6527MB, 17MB, 12MB,501,108, 3MB, 8MB,1658, 68MB, 32MB,2898
2281KB, 1618KB, 412MB, 4961MB, 20MB, 32MB,1266,122, 2MB, 3MB,947, 73MB, 44MB,2898.5
2676KB, 190KB, 171MB, 1828MB, 18MB, 15MB,959,29, 1MB, 15MB,203, 63MB, 86MB,2899
3888KB, 1514KB, 404MB, 4680MB, 9MB, 15MB,1726,14, 3MB, 5MB,1673, 18MB, 20MB,2899.5
2935KB, 381KB, 214MB, 5164MB, 19MB, 11MB,358,115, 2MB, 15MB,1295, 121MB, 51MB,2900
349KB, 270KB, 274MB, 6389MB, 20MB, 29MB,196,124, 3MB, 6MB,109, 113MB, 88MB,2901
1722KB, 575KB, 354MB, 2770MB, 17MB, 7MB,1720,110, 3MB, 13MB,1276, 123MB, 17MB,2902
3290KB, 1669KB, 203MB, 2886MB, 15MB, 15MB,1011,31, 3MB, 7MB,160, 13MB, 26MB,2903
959KB, 1692KB, 176MB, 5558MB, 17MB, 15MB,578,63, 2MB, 9MB,1884, 96MB, 109MB,2904.5
1959KB, 181KB, 189MB, 1287MB, 10MB, 24MB,1313,45, 1MB, 8MB,1626, 71MB, 40MB,2905.5
3241KB, 853KB, 304MB, 7279MB, 1MB, 15MB,1877,15, 1MB, 9MB,1725, 111MB, 87MB,2906
2111KB, 481KB, 193MB, 5119MB, 12MB, 6MB,1976,86, 3MB, 10MB,1790, 16MB, 14MB,2907.5
4002KB, 569KB, 139MB, 5476MB, 2MB, 9MB,223,87, 3MB, 13MB,131, 45MB, 13MB,2909
983KB, 1107KB, 71MB, 3298MB, 5MB, 19MB,1618,44, 2MB, 7MB,260, 29MB, 119MB,2909.5
988KB, 1479KB, 444MB, 367MB, 15MB, 23MB,1447,114, 2MB, 15MB,592, 103MB, 2MB,2910.5
2642KB, 690KB, 444MB, 5405MB, 5MB, 25MB,525,86, 3MB, 9MB,1332, 104MB, 127MB,2912
2338KB, 1159KB, 488MB, 3641MB, 20MB, 14MB,1112,54, 3MB, 12MB,1117, 23MB, 93MB,2912.5
3437KB, 767KB, 348MB, 8169MB, 1MB, 29MB,1567,30, 1MB, 3MB,1551, 27MB, 37MB,2913.5
1831KB, 1570KB, 452MB, 7743MB, 12MB, 18MB,1032,85, 3MB, 3MB,849, 62MB, 46MB,2913.5
574KB, 685KB, 353MB, 719MB, 15MB, 23MB,2015,47, 3MB, 11MB,1739, 24MB, 93MB,2918
1170KB, 1004KB, 335MB, 4972MB, 9MB, 27MB,1944,17, 3MB, 3MB,1214, 80MB, 110MB,2918.5
1668KB, 1406KB, 175MB, 966MB, 16MB, 13MB,1615,127, 2MB, 4MB,1289, 114MB, 77MB,2918.5
2347KB, 1704KB, 60MB, 4012MB, 14MB, 17MB,1866,55, 3MB, 16MB,1578, 54MB, 27MB,2919
4002KB, 1293KB, 423MB, 6820MB, 18MB, 23MB,1756,76, 1MB, 6MB,296, 19MB, 26MB,2920
1260KB, 1188KB, 466MB, 6468MB, 14MB, 9MB,140,80, 3MB, 3MB,325, 15MB, 125MB,2920
3923KB, 1982KB, 339MB, 2387MB, 15MB, 14MB,1394,73, 2MB, 3MB,240, 12MB, 77MB,2921
1371KB, 414KB, 172MB, 1947MB, 2MB, 6MB,1808,67, 1MB, 14MB,114, 25MB, 123MB,2922
1246KB, 1575KB, 228MB, 2211MB, 20MB, 12MB,1031,89, 1MB, 11MB,788, 33MB, 99MB,2923.5
508KB, 618KB, 482MB, 8000MB, 17MB, 5MB,1521,24, 3MB, 4MB,1972, 57MB, 120MB,2924.5
1391KB, 625KB, 184MB, 3010MB, 18MB, 13MB,1989,58, 1MB, 10MB,375, 113MB, 18MB,2926
1199KB, 1901KB, 74MB, 2851MB, 9MB, 7MB,1185,42, 1MB, 2MB,253, 104MB, 33MB,2928
3979KB, 721KB, 491MB, 1510MB, 1MB, 22MB,635,119, 3MB, 10MB,28, 102MB, 45MB,2928
2654KB, 1445KB, 247MB, 6207MB, 1MB, 8MB,150,85, 1MB, 9MB,442, 23MB, 63MB,2936
280KB, 881KB, 190MB, 3883MB, 17MB, 14MB,540,59, 3MB, 6MB,1673, 12MB, 49MB,2940
364KB, 1385KB, 186MB, 4634MB, 4MB, 31MB,1604,45, 3MB, 5MB,1750, 43MB, 122MB,2942
1330KB, 1311KB, 475MB, 404MB, 5MB, 10MB,587,49, 2MB, 7MB,1062, 51MB, 36MB,2942
3416KB, 1904KB, 321MB, 295MB, 13MB, 25MB,1366,102, 2MB, 6MB,764, 109MB, 112MB,2942.5
623KB, 1057KB, 440MB, 7235MB, 6MB, 24MB,1116,67, 1MB, 7MB,978, 81MB, 85MB,2943.5
3034KB, 1498KB, 439MB, 7791MB, 20MB, 26MB,559,57, 1MB, 11MB,1580, 49MB, 95MB,2945
230KB, 1608KB, 312MB, 2677MB, 8MB, 12MB,665,22, 2MB, 10MB,1549, 41MB, 49MB,2955.5
1250KB, 577KB, 429MB, 3116MB, 15MB, 11MB,1399,24, 2MB, 10MB,692, 114MB, 53MB,2957
793KB, 575KB, 476MB, 2349MB, 14MB, 4MB,1201,66, 3MB, 8MB,453, 81MB, 105MB,2958
3487KB, 1328KB, 445MB, 6820MB, 9MB, 22MB,188,16, 2MB, 12MB,1493, 69MB, 73MB,2974
3042KB, 1236KB, 461MB, 7477MB, 2MB, 9MB,346,93, 2MB, 8MB,101, 88MB, 80MB,2975.5
3717KB, 1600KB, 83MB, 6389MB, 2MB, 25MB,165,111, 1MB, 5MB,438, 94MB, 27MB,2992
